Name,Domain,Google OIDC,Microsoft OIDC,SAML,JIT,SCIM Provisioning,SCIM Deprovisioning,Public Provisioning API,Compatible Google SCIM,Sources
Box,box.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Canva,canva.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Carta,carta.com,FALSE,FALSE,UPGRADE,UPGRADE,FALSE,FALSE,FALSE,FALSE,https://www.carta.com
Cloudflare,cloudflare.com,TRUE,FALSE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,FALSE,FALSE,"https://developers.cloudflare.com/fundamentals/setup/account/account-security/scim-setup/, https://community.cloudflare.com/t/scim-for-google-workspaces-not-supported/772581"
Checkout,checkout.com,FALSE,FALSE,UPGRADE,UPGRADE,FALSE,FALSE,FALSE,FALSE,https://www.checkout.com/docs/business-operations/use-the-dashboard/single-sign-on
Comeet,comeet.co,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
CustomerIO,customer.io,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,https://docs.customer.io/accounts-and-workspaces/login-with-sso/
Datadog,datadoghq.com,TRUE,FALSE,TRUE,TRUE,UPGRADE,UPGRADE,FALSE,FALSE,https://docs.datadoghq.com/account_management/saml/
Deskpro,deskpro.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Dialpad,dialpad.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Docusign,docusign.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Dropbox,dropbox.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Emburse,emburse.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Evernote,evernote.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Expo,expo.dev,UPGRADE,UPGRADE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"https://docs.expo.dev/accounts/sso/, https://github.com/expo/fyi/blob/main/sso-setup-google-ws.md"
Figma,figma.com,TRUE,FALSE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,FALSE,TRUE,"https://help.figma.com/hc/en-us/articles/360039957374, https://support.google.com/a/topic/10018788, https://help.figma.com/hc/en-us/articles/360040532333-Guide-to-SAML-SSO, https://help.figma.com/hc/en-us/articles/360040047614-Authenticate-with-Google"
Foodee,foodee.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Freshdesk,freshdesk.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Front,frontapp.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Fuze,fuze.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
GitHub,github.com,FALSE,FALSE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,FALSE,https://docs.github.com/en/enterprise-cloud
Google Cloud Platform,cloud.google.com,TRUE,FALSE,TRUE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,https://cloud.google.com/identity-platform/docs/web/saml
GoToMeeting,gotomeeting.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
HackerOne,hackerone.com,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,https://docs.hackerone.com/en/articles/9010541-scim-provisioning-for-hackerone
Honey,honey.is,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
Hootsuite,hootsuite.com,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,TRUE,TRUE,UNKNOWN,TRUE,https://support.google.com/a/topic/10018788
HubSpot,hubspot.com,TRUE,TRUE,UPGRADE,UPGRADE,UPGRADE,FALSE,UPGRADE,TRUE,"https://knowledge.hubspot.com/account/set-up-single-sign-on-sso, https://support.google.com/a/topic/10018788"
